,Date/Time,Year,Month,Day,Data Quality,Max Temp (°C),Max Temp Flag,Min Temp (°C),Min Temp Flag,Mean Temp (°C),Mean Temp Flag,Heat Deg Days (°C),Heat Deg Days Flag,Cool Deg Days (°C),Cool Deg Days Flag,Total Rain (mm),Total Rain Flag,Total Snow (cm),Total Snow Flag,Total Precip (mm),Total Precip Flag,Snow on Grnd (cm),Snow on Grnd Flag,Dir of Max Gust (10s deg),Dir of Max Gust Flag,Spd of Max Gust (km/h),Spd of Max Gust Flag,GDD
0,2017-01-01,2017,1,1,,-0.7,,-4.3,,-2.5,,20.5,,0.0,,0.0,,0.0,T,0.0,T,4.0,,16.0,,61,,0.0
1,2017-01-02,2017,1,2,,-0.2,,-1.8,,-1.0,,19.0,,0.0,,0.1,,26.0,,19.9,,7.0,,15.0,,67,,0.0
2,2017-01-03,2017,1,3,,-1.3,,-5.0,,-3.2,,21.2,,0.0,,0.0,,0.0,T,0.0,T,30.0,,33.0,,59,,0.0
3,2017-01-04,2017,1,4,,0.0,,-4.9,,-2.5,,20.5,,0.0,,2.8,,0.4,,3.2,,30.0,,16.0,,80,,0.0
4,2017-01-05,2017,1,5,,7.0,,-0.2,,3.4,,14.6,,0.0,,8.2,,0.0,,8.2,,18.0,,17.0,,85,,0.25
5,2017-01-06,2017,1,6,,2.3,,-1.0,,0.7,,17.3,,0.0,,3.8,,2.4,,7.6,,10.0,,25.0,,67,,0.0
6,2017-01-07,2017,1,7,,-0.2,,-7.6,,-3.9,,21.9,,0.0,,3.2,,4.6,,10.6,,7.0,,29.0,,61,,0.0
7,2017-01-08,2017,1,8,,8.5,,-6.2,,1.2,,16.8,,0.0,,5.0,,1.2,,6.6,,7.0,,15.0,,93,,0.25
8,2017-01-09,2017,1,9,,-1.4,,-10.6,,-6.0,,24.0,,0.0,,0.0,,1.5,,0.6,,6.0,,27.0,,65,,0.0
9,2017-01-10,2017,1,10,,-6.3,,-11.0,,-8.7,,26.7,,0.0,,0.0,,0.0,,0.0,,8.0,,31.0,,56,,0.0
10,2017-01-11,2017,1,11,,-2.0,,-11.0,,-6.5,,24.5,,0.0,,0.0,,0.0,T,0.0,T,8.0,,18.0,,43,,0.0
11,2017-01-12,2017,1,12,,3.3,,-2.9,,0.2,,17.8,,0.0,,0.0,,0.4,,0.4,,8.0,,21.0,,61,,0.0
12,2017-01-13,2017,1,13,,8.4,,-5.9,,1.3,,16.7,,0.0,,6.0,,0.2,,6.2,,4.0,,29.0,,74,,0.25
13,2017-01-14,2017,1,14,,-6.0,,-12.4,,-9.2,,27.2,,0.0,,0.0,,0.0,,0.0,,1.0,,29.0,,85,,0.0
